data;id;command
2023-06-14;995177;/cancel
2023-06-14;995177;/start
2023-06-14;995177;/cancel
2023-06-14;995177;/start
2023-06-14;995177;/cancel
2023-06-14;995177;/start
2023-06-14;995177;/start
2023-06-14;995177;/cancel
2023-06-14;995177;/start
2023-06-14;995177;/start
2023-06-14;995177;Проверить цену
2023-06-14;995177;Апоквел
2023-06-14;995177;/start
2023-06-14;995177;/start
2023-06-14;995177;/start
2023-06-14;995177;Проверить цену
2023-06-14;995177;Квамател
2023-06-14;995177;/start
2023-06-14;995177;Проверить цену
2023-06-14;995177;статистика
2023-06-14;995177;/start
2023-06-14;995177;/start
2023-06-14;995177;Проверить цену
2023-06-14;995177;статистика
2023-06-14;995177;/start
2023-06-14;995177;/start
2023-06-14;995177;Проверить цену
2023-06-14;995177;статистика
2023-06-14;995177;/start
2023-06-14;995177;Проверить цену
2023-06-14;995177;Квамател
2023-06-15;995177;/start
2023-06-15;995177;/start
2023-06-15;995177;Проверить цену
2023-06-15;995177;/start
2023-06-15;995177;Проверить цену
2023-06-15;995177;Квамател
2023-06-15;995177;/start
2023-06-15;995177;/start
2023-06-15;995177;/start
2023-06-15;995177;/start
2023-06-15;995177;/start
2023-06-15;995177;/start
2023-06-15;995177;/start
